Total population: 300
Total wearing mask : 145
Total following quarantine: 160
Total population following social distancing160
     Total   Healthy       Infected        Infected & Quarantined
============================================================================================
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       296              4                             2
       300       295              5                             3
       300       295              5                             3
       300       295              5                             3
       300       295              5                             3
       300       295              5                             3
       300       295              5                             3
       300       295              5                             3
       300       295              5                             3
       300       295              5                             3
       300       294              6                             4
       300       294              6                             4
       300       294              6                             4
       300       294              6                             4
       300       294              6                             4
       300       294              6                             4
       300       293              7                             5
       300       293              7                             5
       300       293              7                             5
       300       293              7                             5
       300       293              7                             5
       300       293              7                             5
       300       293              7                             5
       300       293              7                             5
       300       293              7                             5
       300       293              7                             5
       300       292              8                             6
       300       292              8                             6
       300       292              8                             6
       300       292              8                             6
       300       292              8                             6
       300       292              8                             6
       300       292              8                             6
       300       291              9                             6
       300       291              9                             6
       300       291              9                             6
       300       291              9                             6
       300       291              9                             6
       300       291              9                             6
       300       291              9                             6
       300       289             11                             6
       300       289             11                             6
       300       289             11                             6
       300       289             11                             6
       300       288             12                             6
       300       285             15                             8
       300       285             15                             8
       300       284             16                             8
       300       282             18                             8
       300       280             20                             9
       300       278             22                            10
       300       277             23                            10
       300       272             28                            12
       300       268             32                            15
       300       263             37                            17
       300       257             43                            19
       300       254             46                            20
       300       251             49                            22
       300       246             54                            26
       300       242             58                            28
       300       235             65                            31
       300       226             74                            34
       300       224             76                            36
       300       220             80                            38
       300       218             82                            40
       300       213             87                            41
       300       211             89                            43
       300       209             91                            43
       300       203             97                            48
       300       196            104                            52
       300       193            107                            54
       300       192            108                            54
       300       187            113                            56
       300       184            116                            58
       300       178            122                            62
       300       171            129                            68
       300       163            137                            73
       300       162            138                            73
       300       160            140                            75
       300       160            140                            75
       300       159            141                            76
       300       158            142                            77
       300       156            144                            78
       300       152            148                            82
       300       151            149                            82
       300       151            149                            82
       300       151            149                            82
       300       150            150                            83
       300       150            150                            83
       300       148            152                            84
       300       148            152                            84
       300       147            153                            85
       300       146            154                            86
       300       145            155                            86
       300       145            155                            86
       300       145            155                            86
       300       145            155                            86
       300       145            155                            86
       300       144            156                            87
       300       144            156                            87
       300       144            156                            87
       300       144            156                            87
       300       144            156                            87
       300       144            156                            87
       300       144            156                            87
       300       144            156                            87
       300       144            156                            87
       300       144            156                            87
       300       144            156                            87
       300       144            156                            87
       300       144            156                            87
       300       144            156                            87
       300       144            156                            87
       300       144            156                            87
       300       144            156                            87
       300       144            156                            87
       300       144            156                            87
       300       144            156                            87
       300       144            156                            87
