Total population: 300
Total wearing mask : 0
Total following quarantine: 135
Total population following social distancing155
     Total   Healthy       Infected        Infected & Quarantined
============================================================================================
       300       297              3                             0
       300       297              3                             0
       300       297              3                             0
       300       297              3                             0
       300       297              3                             0
       300       297              3                             0
       300       297              3                             0
       300       297              3                             0
       300       296              4                             1
       300       295              5                             1
       300       294              6                             2
       300       293              7                             3
       300       293              7                             3
       300       293              7                             3
       300       293              7                             3
       300       292              8                             3
       300       292              8                             3
       300       292              8                             3
       300       292              8                             3
       300       292              8                             3
       300       291              9                             4
       300       291              9                             4
       300       291              9                             4
       300       291              9                             4
       300       287             13                             5
       300       287             13                             5
       300       286             14                             5
       300       284             16                             6
       300       277             23                             6
       300       275             25                             7
       300       271             29                             8
       300       269             31                             8
       300       266             34                             9
       300       262             38                            10
       300       259             41                            10
       300       257             43                            10
       300       254             46                            11
       300       249             51                            11
       300       242             58                            14
       300       230             70                            18
       300       219             81                            23
       300       211             89                            26
       300       204             96                            28
       300       199            101                            28
       300       192            108                            31
       300       187            113                            33
       300       174            126                            37
       300       167            133                            38
       300       156            144                            41
       300       145            155                            46
       300       136            164                            49
       300       122            178                            56
       300       111            189                            64
       300       101            199                            67
       300        90            210                            74
       300        76            224                            78
       300        66            234                            87
       300        57            243                            96
       300        49            251                           102
       300        36            264                           109
       300        32            268                           111
       300        29            271                           112
       300        25            275                           114
       300        22            278                           117
       300        19            281                           120
       300        19            281                           120
       300        17            283                           122
       300        17            283                           122
       300        16            284                           122
