Starting the simulation
Total population: 300
Total wearing mask : 0
Total following quarantine: 0
Total population following social distancing154
     Total   Healthy       Infected        Infected & Quarantined
============================================================================================
       300       297              3                             0
       300       297              3                             0
       300       297              3                             0
       300       297              3                             0
       300       297              3                             0
       300       297              3                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       295              5                             0
       300       295              5                             0
       300       295              5                             0
       300       295              5                             0
       300       295              5                             0
       300       294              6                             0
       300       292              8                             0
       300       292              8                             0
       300       290             10                             0
       300       289             11                             0
       300       289             11                             0
       300       289             11                             0
       300       288             12                             0
       300       284             16                             0
       300       283             17                             0
       300       281             19                             0
       300       280             20                             0
       300       278             22                             0
       300       273             27                             0
       300       272             28                             0
       300       270             30                             0
       300       266             34                             0
       300       257             43                             0
       300       253             47                             0
       300       248             52                             0
       300       243             57                             0
       300       238             62                             0
       300       235             65                             0
       300       233             67                             0
       300       230             70                             0
       300       221             79                             0
       300       209             91                             0
       300       197            103                             0
       300       177            123                             0
       300       165            135                             0
       300       148            152                             0
       300       134            166                             0
       300       114            186                             0
       300        99            201                             0
       300        90            210                             0
       300        78            222                             0
       300        70            230                             0
       300        61            239                             0
       300        49            251                             0
       300        41            259                             0
       300        30            270                             0
       300        23            277                             0
       300        17            283                             0
       300        15            285                             0
       300        12            288                             0
       300         9            291                             0
       300         8            292                             0
       300         7            293                             0
       300         5            295                             0
       300         4            296                             0
       300         3            297                             0
       300         3            297                             0
       300         2            298                             0
       300         2            298                             0
       300         2            298                             0
       300         2            298                             0
       300         2            298                             0
       300         2            298                             0
       300         2            298                             0
       300         2            298                             0
       300         2            298                             0
       300         2            298                             0
       300         2            298                             0
       300         2            298                             0
       300         2            298                             0
       300         1            299                             0
       300         1            299                             0
       300         1            299                             0
       300         1            299                             0
       300         1            299                             0
       300         1            299                             0
       300         1            299                             0
       300         1            299                             0
       300         1            299                             0
       300         1            299                             0
       300         1            299                             0
       300         1            299                             0
       300         1            299                             0
       300         1            299                             0
       300         1            299                             0
       300         0            300                             0
       300         0            300                             0
       300         0            300                             0
       300         0            300                             0
       300         0            300                             0
       300         0            300                             0
