Total population: 300
Total wearing mask : 142
Total following quarantine: 0
Total population following social distancing163
     Total   Healthy       Infected        Infected & Quarantined
============================================================================================
       300       297              3                             0
       300       297              3                             0
       300       297              3                             0
       300       297              3                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       296              4                             0
       300       295              5                             0
       300       295              5                             0
       300       295              5                             0
       300       295              5                             0
       300       295              5                             0
       300       295              5                             0
       300       294              6                             0
       300       294              6                             0
       300       294              6                             0
       300       294              6                             0
       300       292              8                             0
       300       292              8                             0
       300       291              9                             0
       300       290             10                             0
       300       289             11                             0
       300       286             14                             0
       300       284             16                             0
       300       280             20                             0
       300       277             23                             0
       300       275             25                             0
       300       269             31                             0
       300       264             36                             0
       300       262             38                             0
       300       254             46                             0
       300       243             57                             0
       300       237             63                             0
       300       233             67                             0
       300       225             75                             0
       300       215             85                             0
       300       206             94                             0
       300       196            104                             0
       300       193            107                             0
       300       181            119                             0
       300       176            124                             0
       300       166            134                             0
       300       162            138                             0
       300       159            141                             0
       300       157            143                             0
       300       152            148                             0
       300       149            151                             0
       300       147            153                             0
       300       147            153                             0
       300       146            154                             0
       300       143            157                             0
       300       143            157                             0
       300       142            158                             0
       300       141            159                             0
       300       141            159                             0
       300       141            159                             0
       300       141            159                             0
       300       140            160                             0
       300       140            160                             0
       300       140            160                             0
       300       140            160                             0
       300       140            160                             0
       300       140            160                             0
       300       140            160                             0
